timestamp,energy
2020-08-05 08:00,33891.23046875
2020-08-05 09:00,35286.87109375
2020-08-05 10:00,48164.3515625
2020-08-05 11:00,50028.78125
2020-08-05 12:00,57547.8515625
2020-08-05 13:00,57548.55859375
2020-08-05 14:00,57548.2109375
2020-08-05 15:00,57548.078125
2020-08-05 16:00,57550.578125
2020-08-05 17:00,34642.62890625
2020-08-05 18:00,33885.73046875
2020-08-05 19:00,33891.0
2020-08-05 20:00,33892.76171875
2020-08-05 21:00,33902.140625
2020-08-05 22:00,33917.359375
2020-08-05 23:00,33930.73828125
2020-08-06 00:00,33954.76171875
2020-08-06 01:00,34093.12890625
2020-08-06 02:00,34334.3984375
2020-08-06 03:00,34258.44921875
2020-08-06 04:00,33986.96875
2020-08-06 05:00,33901.828125
2020-08-06 06:00,33891.828125
2020-08-06 07:00,33891.1484375
2020-08-06 08:00,33891.0
2020-08-06 09:00,33890.96875
2020-08-06 10:00,33913.828125
2020-08-06 11:00,34666.28125
2020-08-06 12:00,98127.71875
2020-08-06 13:00,57548.26171875
2020-08-06 14:00,57548.37890625
2020-08-06 15:00,49833.51953125
2020-08-06 16:00,43035.80078125
2020-08-06 17:00,44429.8515625
2020-08-06 18:00,50634.73828125
2020-08-06 19:00,13357.5302734375
2020-08-06 20:00,33806.51953125
2020-08-06 21:00,31898.3203125
2020-08-06 22:00,33890.94140625
2020-08-06 23:00,33890.71875
2020-08-07 00:00,33892.05078125
2020-08-07 01:00,34051.828125
2020-08-07 02:00,34631.4296875
2020-08-07 03:00,35321.16015625
2020-08-07 04:00,36404.6484375
2020-08-07 05:00,34502.66015625
2020-08-07 06:00,33945.6015625
2020-08-07 07:00,33914.3984375
